Activity Name,Grade,Subject,Thumbnail,URL
मेरुदण्ड नभएका जनावरको वर्गीकरण,7,science,https://epaath.olenepal.org/images/thumb/science/classification-of-invertebrates-Gr-501.png,https://epaath.olenepal.org/start.html?id=scicli01&lang=np&grade=7
कोष,7,science,https://epaath.olenepal.org/images/thumb/science/cell-gr-6_001.png,https://epaath.olenepal.org/start.html?id=scicls01&lang=np&grade=7
जनावरहरूको जीवन प्रक्रिया,7,science,https://epaath.olenepal.org/images/main/science/Grade7/Life-Process-Animals.png,https://epaath.olenepal.org/start.html?id=scilps01&lang=np&grade=7
बिरूवाको जीवन प्रक्रिया,7,science,https://epaath.olenepal.org/images/main/science/Grade7/Life-process-of-plants.png,https://epaath.olenepal.org/start.html?id=scipps01&lang=np&grade=7
दूरी र स्थानान्तरण,7,science,https://epaath.olenepal.org/images/main/science/Grade7/Distance-&-Displacement.png,https://epaath.olenepal.org/start.html?id=scidis01&lang=np&grade=7
दूरी र स्थानान्तरणको रमाइलो यात्रा,7,science,https://epaath.olenepal.org/images/main/science/Grade7/dis_outer_thumbnail.png,https://epaath.olenepal.org/start.html?id=scidad01&lang=np&grade=7
बल,7,science,https://epaath.olenepal.org/images/main/science/Grade7/Force.png,https://epaath.olenepal.org/start.html?id=scifor01&lang=np&grade=7
"कार्य,शक्ति र सामर्थ्य",7,science,https://epaath.olenepal.org/images/main/science/Grade7/Work-Energy-and-Power.png,https://epaath.olenepal.org/start.html?id=sciwep01&lang=np&grade=7
कार्य र सामर्थ्य,7,science,https://epaath.olenepal.org/images/main/science/Grade8/Grade8-work_energy_and_power.png,https://epaath.olenepal.org/start.html?id=scipwe01&lang=np&grade=7
ताप,7,science,https://epaath.olenepal.org/images/main/science/Grade7/Heat.png,https://epaath.olenepal.org/start.html?id=scihit01&lang=np&grade=7
ध्वनि,7,science,https://epaath.olenepal.org/images/main/science/Grade7/sound.png,https://epaath.olenepal.org/start.html?id=scisnd01&lang=np&grade=7
स्थिर विद्युत्,7,science,https://epaath.olenepal.org/images/thumb/science/static_electricity_gr_7_01.png,https://epaath.olenepal.org/start.html?id=sciels01&lang=np&grade=7
घनत्व,7,science,https://epaath.olenepal.org/images/thumb/science/thumbnail_density_grade7.png,https://epaath.olenepal.org/start.html?id=sciden01&lang=np&grade=7
पदार्थ,7,science,https://epaath.olenepal.org/images/main/science/Grade7/state_of_matter.png,https://epaath.olenepal.org/start.html?id=scisom01&lang=np&grade=7
पदार्थका गुण,7,science,https://epaath.olenepal.org/images/main/science/Grade7/properties_of_matter.png,https://epaath.olenepal.org/start.html?id=scipom01&lang=np&grade=7
चट्टान,7,science,https://epaath.olenepal.org/images/main/science/Grade7/rocks.png,https://epaath.olenepal.org/start.html?id=scisoe01&lang=np&grade=7
मौसम र हावापानी,7,science,https://epaath.olenepal.org/images/main/science/Grade7/weather.png,https://epaath.olenepal.org/start.html?id=sciwcl01&lang=np&grade=7
वायुमण्डल,7,science,https://epaath.olenepal.org/images/main/science/Grade7/Atmosphere.png,https://epaath.olenepal.org/start.html?id=sciatm01&lang=np&grade=7
Introducing Others Formally,7,english,https://epaath.olenepal.org/images/thumb/english/introducing_others_formally_thumbnails.png,https://epaath.olenepal.org/start.html?id=engiof01&lang=en&grade=7
Introduction of a visiting relative,7,english,https://epaath.olenepal.org/images/main/english/Grade7/Lesson-01.png,https://epaath.olenepal.org/start.html?id=eng0l101&lang=en&grade=7
Introduction of a New Student,7,english,https://epaath.olenepal.org/images/main/english/Grade7/Lesson-02.png,https://epaath.olenepal.org/start.html?id=eng0l201&lang=en&grade=7
Asking for permissions,7,english,https://epaath.olenepal.org/images/thumb/english/rgd_thumbnail.png,https://epaath.olenepal.org/start.html?id=engrgd01&lang=en&grade=7
Gaura Festival,7,english,https://epaath.olenepal.org/images/main/english/Grade7/Lesson-06.png,https://epaath.olenepal.org/start.html?id=eng0l601&lang=en&grade=7
A Visit to the Hospital,7,english,https://epaath.olenepal.org/images/main/english/Grade7/Lesson-08.png,https://epaath.olenepal.org/start.html?id=eng0l801&lang=en&grade=7
Sentence Construction: Poetry,7,english,https://epaath.olenepal.org/images/main/english/Grade7/Lesson-15.png,https://epaath.olenepal.org/start.html?id=eng2l501&lang=en&grade=7
Making Conversations,7,english,https://epaath.olenepal.org/images/main/english/Grade7/Lesson-11.png,https://epaath.olenepal.org/start.html?id=eng9l101&lang=en&grade=7
Drafting Invitations,7,english,https://epaath.olenepal.org/images/main/english/Grade7/Lesson-13.png,https://epaath.olenepal.org/start.html?id=eng3l701&lang=en&grade=7
